Stock_Code	Reporting_Unit	Conservation_Unit	Population	Collection_Years	Sample_Number	Province_State	Latitude	Longitude
93	West Vancouver Island-South_FA_0.x	31	SAN_JUAN_RIVER	2014(104), 2015(95), 2017(102), 2018(47), 2019(159), 2020(242), 2021(292)	1041	BC	48.56008206	-124.3987958
1388	West Vancouver Island-South_FA_0.x	31	SARITA_RIVER	2013(267), 2014(99), 2015(284), 2016(347), 2017(308), 2018(211), 2019(296), 2020(240), 2021(295)	2347	BC	48.8978855	-125.0090965
288	Boundary Bay_FA_0.3	2	SERPENTINE_RIVER	2002(16), 2020(66)	82	BC	49.08194793	-122.8529309
1000270	South Thompson_SU_1.3	14	SEYMOUR_RIVER	2002(8), 2003(1), 2010(25)	34	BC	51.23862931	-118.9593268
2000404	North & Central Oregon	NCOR	SIUSLAW_RIVER	2011(54)	54	OR	44.0101	-124.0814
262	Upper Fraser River_SP_1.3	12	SLIM_CREEK	1996(3), 1998(38), 2001(47), 2020(7)	95	BC	53.79685895	-121.1939303
160	Lower Thompson_SP_1.2	17	SPIUS_CREEK	2013(45), 2014(52), 2015(58), 2018(20), 2019(42), 2020(42), 2021(55)	314	BC	50.14716324	-121.0208052
5424	Upper Skeena	56	SUSTUT_RIVER	2012(90)	90	BC	56.31706199	-127.3688016
398	Upper Fraser River_SP_1.3	12	SWIFT_CREEK	1996(38), 2001(11), 2006(1), 2009(2), 2010(10), 2012(4), 2013(11), 2014(9), 2015(2), 2016(13), 2017(1)	102	BC	52.84865884	-119.2987913
1731	Stikine_early timing	60	TAHLTAN_RIVER	2008(76), 2009(47), 2011(41)	164	BC	58.01056704	-130.9790603
1000239	Alsek	67	TAKHANNE_RIVER	2002(23), 2003(47), 2008(14), 2010(10), 2011(4)	98	BC	60.09605143	-136.9885098
1732	Upper Yukon River	69	TAKHINI_RIVER	2002(41), 2003(37), 2005(39)	117	YU	60.84180017	-135.1857732
1000143	Middle Fraser River_SU_1.3	11	TASEKO_RIVER	1997(37), 1998(23), 2001(15), 2002(93), 2010(5)	173	BC	52.00672961	-123.6769982
1000353	White and tributaries	75	TINCUP_CREEK	2009(21), 2011(60), 2012(53)	134	BC	61.88766401	-139.545769
1000290	Alaska_Mid Yukon River	AKYR-M	TOZITNA_RIVER	2002(98)	98	AK	65.0812	-152.2434
1000219	California Klamath Trinity	CAKT	TRINITY_RIVER_HATCHERY_FALL	1998(86)	86	CA	41.1105	-123.4231
2000220	Stikine_late timing	61	VERRETT_RIVER	2007(91), 2009(59), 2010(46)	196	BC	56.6966178	-131.0040968
60	Haida Gwaii-North	43	YAKOUN_RIVER	1996(1), 2001(35), 2016(41), 2018(95), 2019(82), 2020(33)	287	BC	53.64710965	-132.2033528
1000505	Taku_late timing	65	YETH_RIVER	2008(37), 2009(6), 2010(9)	52	BC	58.8861	-133.0051
