"Site","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"ECSTALL_RIVER",6.22916650772095,12.6333332061768,0.299999982118607,2854,410,95,44.4655876159668,1118,343,496,928,6.65833330154419,32.1658630371094,512.886047363281,17.5,-3.20000004768372,20.7000007629395,3.23333334922791,12.5999994277954
"ENDAKO_RIVER",3.04583334922791,13.9333333969116,-9.21666622161865,519,56,22,26.1800422668457,158,77,158,122,11.2749996185303,30.309139251709,938.559020996094,21.6000003814697,-15.6000003814697,37.2000007629395,13.9333333969116,-1.61666655540466
"HARRISON_RIVER",9.89166641235352,17.1000003814697,2.81666660308838,1716,267,59,48.531681060791,717,202,202,607,8.25,33.1325302124023,588.865783691406,24.1000003814697,-0.800000011920929,24.8999996185303,3.28333330154419,17.1000003814697
"HOOLE_RIVER",-3.60416650772095,12.033332824707,-20.5,309,56,11,51.556884765625,136,38,136,51,13.7416667938232,27.6492290496826,1334.11096191406,20.7999992370605,-28.8999996185303,49.6999969482422,12.033332824707,-10.0666666030884
"IMNAHA",3.57500004768372,12.0166664123535,-3.84999990463257,652,72,24,27.4332485198975,206,97,97,194,15.0500001907349,44.3952789306641,664.702575683594,23.7999992370605,-10.1000003814697,33.9000015258789,-3.21666669845581,12.0166664123535
"KAOUK_RIVER",9.17916679382324,14.8333339691162,4.44999980926514,3297,533,71,58.6333923339844,1475,295,324,1248,6.59166669845581,36.4180488586426,430.9580078125,20,1.89999997615814,18.1000003814697,4.88333320617676,14.5833330154419
"KILBELLA_RIVER",7.80000019073486,14.1666669845581,1.81666672229767,2917,407,99,45.9678535461426,1189,341,444,976,6.26666688919067,31.8104915618896,513.685424804688,19,-0.699999988079071,19.7000007629395,4.84999990463257,14.1333332061768
"KILDALA_RIVER",6.77500009536743,14.8000001907349,-1.38333332538605,2224,330,77,50.0587120056152,909,244,259,773,6.94999980926514,27.5793647766113,658.080871582031,20.5,-4.69999980926514,25.2000007629395,2.75,12.9333333969116
"KINCOLITH_RIVER",6.88749980926514,13.533332824707,0.383333325386047,2034,319,82,46.3106842041016,816,256,284,642,6.90833330154419,32.5864791870117,537.435485839844,18.2999992370605,-2.90000009536743,21.1999988555908,3.78333330154419,11.9000005722046
"KITLOPE_RIVER",6.62916660308838,14.5499992370605,-1.31666660308838,2675,417,87,51.1698608398438,1114,297,301,910,7.45833349227905,29.5965614318848,648.219421386719,20.5,-4.69999980926514,25.2000007629395,2.61666679382324,12.6333332061768
"KITSUMKALUM_RIVER-LOWER",6.75833320617676,15.5833330154419,-2.38333320617676,1369,209,52,51.1371040344238,574,159,172,474,7.91666650772095,28.4772186279297,728.34130859375,21.7999992370605,-6,27.7999992370605,1.98333334922791,13.75
"KITWANGA_RIVER",5.54583358764648,15.3833332061768,-4.86666679382324,738,104,32,39.5847549438477,270,108,143,228,10.0416669845581,31.28244972229,819.025085449219,22.7000007629395,-9.39999961853027,32.0999984741211,-0.0999999642372131,6.08333349227905
"KLINAKLINI_RIVER",7.875,15.2999992370605,0.266666680574417,1493,229,51,49.028392791748,612,185,186,492,7.58333349227905,31.3360900878906,614.752319335938,21.2999992370605,-2.90000009536743,24.1999988555908,3.78333330154419,15.0500001907349
"KLONDIKE_RIVER",-4.95833349227905,13.8333330154419,-25.5166664123535,324,52,10,49.6742630004883,138,33,138,50,12.1499996185303,22.1715335845947,1607.60241699219,22.7000007629395,-32.0999984741211,54.7999992370605,13.8333330154419,-13.2833337783813
"KWINAGEESE_RIVER",3.71666669845581,13.9333333969116,-7.05000019073486,829,119,32,39.7688293457031,303,112,175,239,9.86666679382324,29.8086605072021,852.499877929688,20.8999996185303,-12.1999998092651,33.0999984741211,3.75,4.23333311080933
"MAYO_RIVER",-3.60000014305115,13.4499998092651,-21.8999996185303,315,55,9,53.1592178344727,138,32,138,51,11.8500003814697,22.7011489868164,1445.75085449219,21.8999996185303,-30.2999992370605,52.1999969482422,13.4499998092651,-10.1833333969116
"MORLEY_RIVER",-1.17916655540466,12.1499996185303,-16.3166656494141,368,48,11,35.250659942627,135,52,123,81,11.4250001907349,26.5081214904785,1155.73754882812,19.7999992370605,-23.2999992370605,43.0999984741211,10.8166666030884,-6.90000009536743
"MOYEHA_RIVER",8.88749980926514,15.1333332061768,3.28333330154419,3028,475,65,57.8859825134277,1316,258,264,1152,8.10833358764648,38.6111106872559,486.042114257812,21.2000007629395,0.200000002980232,21,3.84999990463257,14.8333339691162
"NAHATLATCH_RIVER",8.94583320617676,18.3666667938232,-0.966666698455811,858,131,26,56.3617897033691,385,86,86,345,9.17500019073486,28.852201461792,780.988464355469,26.5,-5.30000019073486,31.7999992370605,0.0333333127200603,18.3666667938232
"NIMPKISH_RIVER",8.83750057220459,14.2333335876465,3.86666679382324,1834,271,56,52.2532958984375,770,208,239,670,6.34166669845581,36.238094329834,427.413604736328,19.2000007629395,1.70000004768372,17.5,4.30000019073486,14.1000003814697
"NORDENSKIOLD_RIVER",-2.97083330154419,13.6333332061768,-22.2999992370605,264,57,6,67.4072418212891,131,22,131,37,13.0916662216187,24.5622253417969,1460.20458984375,22.2000007629395,-31.1000003814697,53.3000030517578,13.6333332061768,-9.85000038146973
"NUSATSUM_RIVER",7.16249990463257,15.3333339691162,-0.900000035762787,1267,196,42,53.2858352661133,538,143,146,435,9.17500019073486,34.3632965087891,663.23974609375,21.7999992370605,-4.90000009536743,26.6999988555908,2.51666665077209,13.4500007629395
"OKANAGAN_RIVER",9.73333358764648,20.2999992370605,-0.933333337306976,312,36,16,26.1414794921875,96,53,80,87,11.466667175293,33.6265869140625,857.3037109375,29.1000003814697,-5,34.0999984741211,-0.149999976158142,15.4499998092651
"PHILLIPS_RIVER",8.52916622161865,15.716667175293,1.56666672229767,1939,287,60,46.4111175537109,762,216,241,646,6.42499971389771,29.0723972320557,580.788879394531,21.2000007629395,-0.899999976158142,22.1000003814697,2.11666655540466,15.5333337783813
"PITT_RIVER-UPPER",8.15833282470703,15.6499996185303,0.916666626930237,2713,449,77,54.7095108032227,1178,266,273,975,7.56666660308838,31.1385459899902,604.531494140625,22.2999992370605,-2,24.2999992370605,1.54999995231628,15.4833335876465
"PORTAGE_CREEK",7.70416641235352,17.2000007629395,-1.86666667461395,538,81,25,46.5707588195801,230,81,90,194,9.65833282470703,30.8572959899902,773.491088867188,24.8999996185303,-6.40000009536743,31.2999992370605,-1.05000007152557,11.4333333969116
"QUALICUM_RIVER",9.63749980926514,16.3500003814697,3.45000004768372,1296,216,26,64.3368377685547,612,106,106,535,8.20833301544189,36.4814834594727,531.567687988281,22.7999992370605,0.300000011920929,22.5,4,16.3500003814697
"RAFT_RIVER",6.75416660308838,17.533332824707,-4.84999990463257,503,54,23,23.8961925506592,155,81,155,124,11.5749998092651,31.712329864502,903.655334472656,26.2999992370605,-10.1999998092651,36.5,17.533332824707,2.63333344459534
"SALMON_FORK_RIVER",-6.96250009536743,12.3833332061768,-24.7666664123535,244,44,6,62.8999977111816,122,23,122,37,11.7083330154419,22.4728088378906,1540.80578613281,20.7000007629395,-31.3999996185303,52.0999984741211,12.3833332061768,-17.2333335876465
"SAN_JUAN_RIVER",9.34583282470703,14.8333330154419,4.23333358764648,3198,525,49,63.9015808105469,1471,221,237,1293,7.80833339691162,39.4360275268555,434.435150146484,20.5,0.699999988079071,19.7999992370605,4.84999990463257,14.5666666030884
"SARITA_RIVER",9.4375,15.1000003814697,4.38333320617676,2893,462,53,60.8802947998047,1290,218,218,1158,7.77499961853027,39.6683654785156,441.187072753906,20.7000007629395,1.10000002384186,19.6000003814697,4.83333349227905,15.1000003814697
"SERPENTINE_RIVER",10.2291669845581,16.9500007629395,3.68333339691162,1383,218,47,49.6086921691895,589,158,165,505,8.30833339691162,36.1231880187988,545.720825195312,23.1000003814697,0.100000001490116,23,4.13333320617676,16.8166675567627
"SEYMOUR_RIVER",7.24166679382324,17.8333339691162,-3.59999990463257,952,112,59,20.1023998260498,300,191,239,260,10.2333335876465,30.8232936859131,866.68603515625,26,-7.19999980926514,33.2000007629395,-2.46666669845581,2.5
"SIUSLAW_RIVER",11.3166666030884,16.0499992370605,7.04999971389771,1967,323,21,67.9078979492188,921,113,116,866,9.36666679382324,49.55908203125,366.688720703125,22.1000003814697,3.20000004768372,18.8999996185303,7.53333330154419,15.466667175293
"SLIM_CREEK",4.19999980926514,14.716667175293,-7.16666650772095,880,91,43,21.1649513244629,253,154,253,227,11.783332824707,32.7314796447754,887.240356445312,22.7000007629395,-13.3000001907349,36,14.716667175293,-0.150000005960464
"SPIUS_CREEK",7.71666669845581,17.9166660308838,-2.91666674613953,380,46,19,27.853422164917,132,67,88,112,11.533332824707,32.8585014343262,839.529968261719,26.8999996185303,-8.19999980926514,35.0999984741211,-2.04999995231628,3.58333325386047
"SUSTUT_RIVER",2.05833339691162,13.25,-9.83333301544189,591,68,23,30.5496349334717,193,81,171,143,11.0833330154419,29.7140312194824,937.178649902344,20.8999996185303,-16.3999996185303,37.2999992370605,8.36666679382324,-2.26666665077209
"SWIFT_CREEK",4.57499980926514,15.3166666030884,-6.83333301544189,570,65,28,24.1654090881348,171,96,157,149,11.3166666030884,31.5227470397949,894.138732910156,23.6000003814697,-12.3000001907349,35.9000015258789,10.466667175293,5.23333358764648
"TAHLTAN_RIVER",2.75416660308838,14.6833333969116,-10.5500001907349,353,44,8,41.0500373840332,121,38,98,100,11.4416666030884,29.9520072937012,1024.29675292969,22.8999996185303,-15.3000001907349,38.2000007629395,9.56666660308838,4.01666641235352
"TAKHANNE_RIVER",-0.50000011920929,11.3166666030884,-12.7666664123535,601,80,21,38.3012313842773,211,72,140,185,10.8500003814697,28.2552089691162,989.462646484375,18.3999996185303,-20,38.4000015258789,-6.45000028610229,-0.48333340883255
"TAKHINI_RIVER",-0.800000071525574,13.1000003814697,-16.1166667938232,250,40,4,51.9960899353027,109,23,105,45,11.3666667938232,25.6583881378174,1184.65380859375,21.2000007629395,-23.1000003814697,44.3000030517578,11.5333337783813,-6.98333358764648
"TASEKO_RIVER",3.48749995231628,14.4166660308838,-9.03333377838135,368,44,15,29.6032695770264,123,50,123,82,15.1416664123535,36.7516174316406,948.357727050781,24,-17.2000007629395,41.2000007629395,14.4166660308838,-0.883333265781403
"TINCUP_CREEK",-4.22916698455811,11.8166666030884,-21.9333343505859,387,79,12,66.9084625244141,196,40,196,45,12.875,26.0101013183594,1385.31005859375,19.7999992370605,-29.7000007629395,49.5,11.8166666030884,-10.9333333969116
"TOZITNA_RIVER",-3.625,14.7666664123535,-21.75,325,67,8,68.7536087036133,165,35,163,46,11.1999998092651,21.875,1510.23852539062,23,-28.2000007629395,51.2000007629395,12.0666666030884,-12.1499996185303
"TRINITY_RIVER_HATCHERY_FALL",8.35416698455811,15.5500001907349,3.04999995231628,1403,245,9,76.1161804199219,692,57,68,654,14.3083333969116,50.3814544677734,527.599426269531,26.1000003814697,-2.29999995231628,28.3999996185303,3.59999990463257,14.8166666030884
"VERRETT_RIVER",4.38749980926514,13.783332824707,-5.43333339691162,1573,241,68,40.7600440979004,584,227,256,472,8.22499942779541,28.8596477508545,779.583557128906,19.8999996185303,-8.60000038146973,28.5,-0.733333349227905,12.1499996185303
"YAKOUN_RIVER",7.79166650772095,13.5333337783813,2.90000009536743,1550,208,61,40.3813781738281,599,213,264,487,5.90000009536743,33.1460647583008,440.350250244141,17.7000007629395,-0.100000001490116,17.8000011444092,5.71666669845581,11.3000001907349
"YETH_RIVER",2.52916669845581,13.6166667938232,-9.23333358764648,955,145,43,37.3204040527344,354,147,208,242,8.90833282470703,26.047758102417,929.649169921875,20.1000003814697,-14.1000003814697,34.2000007629395,2.83333349227905,8.08333301544189
