Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_018296145.1		Primary Assembly	LG16	38888867	43.5	CM031214.1	Linkage Group		NC_056444.1	assembled-molecule	89555470		
GCF_018296145.1		Primary Assembly	LG17	10913873	44	CM031215.1	Linkage Group		NC_056445.1	assembled-molecule	24928494		
GCF_018296145.1		Primary Assembly	LG18	20436851	43.5	CM031216.1	Linkage Group		NC_056446.1	assembled-molecule	46953456		
GCF_018296145.1		Primary Assembly	LG19	25929033	43	CM031217.1	Linkage Group		NC_056447.1	assembled-molecule	60026146		
GCF_018296145.1		Primary Assembly	LG20	22683006	43.5	CM031218.1	Linkage Group		NC_056448.1	assembled-molecule	52270623		
GCF_018296145.1		Primary Assembly	LG21	19572085	43.5	CM031219.1	Linkage Group		NC_056449.1	assembled-molecule	44939649		
GCF_018296145.1		Primary Assembly	LG22	20228565	44	CM031220.1	Linkage Group		NC_056450.1	assembled-molecule	46238377		
GCF_018296145.1		Primary Assembly	LG23	12093534	43.5	CM031221.1	Linkage Group		NC_056451.1	assembled-molecule	27813821		
GCF_018296145.1		Primary Assembly	LG24	14967451	43.5	CM031222.1	Linkage Group		NC_056452.1	assembled-molecule	34545068		
GCF_018296145.1		Primary Assembly	LG25	20742346	43.5	CM031223.1	Linkage Group		NC_056453.1	assembled-molecule	47919032		
GCF_018296145.1		Primary Assembly	LG26	23440128	43	CM031224.1	Linkage Group		NC_056454.1	assembled-molecule	54312133		
GCF_018296145.1		Primary Assembly	LG27	9412373	43.5	CM031225.1	Linkage Group		NC_056455.1	assembled-molecule	21534814		
GCF_018296145.1		Primary Assembly	LG28	19459558	43	CM031226.1	Linkage Group		NC_056456.1	assembled-molecule	45212454		
GCF_018296145.1		Primary Assembly	LG29	17361498	43.5	CM031227.1	Linkage Group		NC_056457.1	assembled-molecule	39891728		
GCF_018296145.1		Primary Assembly	LG30	22844504	43	CM031228.1	Linkage Group		NC_056458.1	assembled-molecule	52926507		
GCF_018296145.1		Primary Assembly	LG31	17944321	43.5	CM031229.1	Linkage Group		NC_056459.1	assembled-molecule	41055135		
GCF_018296145.1		Primary Assembly	LG32	7291475	43	CM031230.1	Linkage Group		NC_056460.1	assembled-molecule	16871153		
GCF_018296145.1		Primary Assembly	LG33	21842986	43.5	CM031231.1	Linkage Group		NC_056461.1	assembled-molecule	50232734		
GCF_018296145.1		Primary Assembly	LG34	6882227	43.5	CM031232.1	Linkage Group		NC_056462.1	assembled-molecule	15889890		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000003.1	Chromosome		NW_024609577.1	unplaced-scaffold	229866		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000009.1	Chromosome		NW_024609666.1	unplaced-scaffold	295561		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000011.1	Chromosome		NW_024609604.1	unplaced-scaffold	249930		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000016.1	Chromosome		NW_024609689.1	unplaced-scaffold	308005		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000019.1	Chromosome		NW_024608670.1	unplaced-scaffold	73631		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000025.1	Chromosome		NW_024607029.1	unplaced-scaffold	16036		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000027.1	Chromosome		NW_024609439.1	unplaced-scaffold	174481		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000038.1	Chromosome		NW_024604025.1	unplaced-scaffold	2552		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000039.1	Chromosome		NW_024606522.1	unplaced-scaffold	9166		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000040.1	Chromosome		NW_024604879.1	unplaced-scaffold	3916		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000041.1	Chromosome		NW_024604045.1	unplaced-scaffold	2586		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000042.1	Chromosome		NW_024605062.1	unplaced-scaffold	4114		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000043.1	Chromosome		NW_024604645.1	unplaced-scaffold	3599		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000044.1	Chromosome		NW_024605682.1	unplaced-scaffold	5233		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000045.1	Chromosome		NW_024605074.1	unplaced-scaffold	4130		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000046.1	Chromosome		NW_024606034.1	unplaced-scaffold	6431		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000047.1	Chromosome		NW_024606525.1	unplaced-scaffold	9181		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000048.1	Chromosome		NW_024604898.1	unplaced-scaffold	3941		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000050.1	Chromosome		NW_024608409.1	unplaced-scaffold	61428		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000051.1	Chromosome		NW_024606623.1	unplaced-scaffold	10071		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000052.1	Chromosome		NW_024609400.1	unplaced-scaffold	161124		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000054.1	Chromosome		NW_024608346.1	unplaced-scaffold	58562		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000055.1	Chromosome		NW_024604350.1	unplaced-scaffold	3120		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000056.1	Chromosome		NW_024605359.1	unplaced-scaffold	4534		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000057.1	Chromosome		NW_024609531.1	unplaced-scaffold	208430		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000059.1	Chromosome		NW_024607985.1	unplaced-scaffold	43798		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000060.1	Chromosome		NW_024605258.1	unplaced-scaffold	4370		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000061.1	Chromosome		NW_024607285.1	unplaced-scaffold	22038		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000062.1	Chromosome		NW_024605955.1	unplaced-scaffold	6190		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000063.1	Chromosome		NW_024608918.1	unplaced-scaffold	90193		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000064.1	Chromosome		NW_024609639.1	unplaced-scaffold	280519		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000065.1	Chromosome		NW_024605079.1	unplaced-scaffold	4140		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000066.1	Chromosome		NW_024609000.1	unplaced-scaffold	96928		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000068.1	Chromosome		NW_024606681.1	unplaced-scaffold	10615		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000069.1	Chromosome		NW_024609377.1	unplaced-scaffold	155562		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000070.1	Chromosome		NW_024607469.1	unplaced-scaffold	27031		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000072.1	Chromosome		NW_024606519.1	unplaced-scaffold	9146		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000073.1	Chromosome		NW_024606650.1	unplaced-scaffold	10254		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000074.1	Chromosome		NW_024604747.1	unplaced-scaffold	3730		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000075.1	Chromosome		NW_024609195.1	unplaced-scaffold	120077		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000076.1	Chromosome		NW_024606652.1	unplaced-scaffold	10268		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000077.1	Chromosome		NW_024607563.1	unplaced-scaffold	30015		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000079.1	Chromosome		NW_024607679.1	unplaced-scaffold	33608		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000080.1	Chromosome		NW_024609813.1	unplaced-scaffold	727537		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000081.1	Chromosome		NW_024603916.1	unplaced-scaffold	2348		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000082.1	Chromosome		NW_024608461.1	unplaced-scaffold	63437		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000083.1	Chromosome		NW_024608078.1	unplaced-scaffold	47860		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000084.1	Chromosome		NW_024608282.1	unplaced-scaffold	56137		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000086.1	Chromosome		NW_024609113.1	unplaced-scaffold	110010		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000087.1	Chromosome		NW_024603653.1	unplaced-scaffold	1850		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000089.1	Chromosome		NW_024606792.1	unplaced-scaffold	12099		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000090.1	Chromosome		NW_024609285.1	unplaced-scaffold	132404		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000091.1	Chromosome		NW_024609172.1	unplaced-scaffold	116893		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000092.1	Chromosome		NW_024606078.1	unplaced-scaffold	6585		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000094.1	Chromosome		NW_024607152.1	unplaced-scaffold	18851		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000095.1	Chromosome		NW_024604662.1	unplaced-scaffold	3627		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000098.1	Chromosome		NW_024609202.1	unplaced-scaffold	120683		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000102.1	Chromosome		NW_024608613.1	unplaced-scaffold	70005		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000103.1	Chromosome		NW_024607650.1	unplaced-scaffold	32806		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000104.1	Chromosome		NW_024607934.1	unplaced-scaffold	42556		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000105.1	Chromosome		NW_024603036.1	unplaced-scaffold	1060		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000106.1	Chromosome		NW_024602208.1	unplaced-scaffold	255		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000107.1	Chromosome		NW_024608862.1	unplaced-scaffold	86325		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000108.1	Chromosome		NW_024604337.1	unplaced-scaffold	3093		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000109.1	Chromosome		NW_024605395.1	unplaced-scaffold	4600		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000111.1	Chromosome		NW_024603869.1	unplaced-scaffold	2256		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000112.1	Chromosome		NW_024603074.1	unplaced-scaffold	1101		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000113.1	Chromosome		NW_024607771.1	unplaced-scaffold	36572		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000114.1	Chromosome		NW_024606609.1	unplaced-scaffold	9918		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000115.1	Chromosome		NW_024606260.1	unplaced-scaffold	7486		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000116.1	Chromosome		NW_024602524.1	unplaced-scaffold	619		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000117.1	Chromosome		NW_024608700.1	unplaced-scaffold	75502		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000118.1	Chromosome		NW_024602982.1	unplaced-scaffold	986		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000119.1	Chromosome		NW_024605977.1	unplaced-scaffold	6263		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000121.1	Chromosome		NW_024608043.1	unplaced-scaffold	46319		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000122.1	Chromosome		NW_024605669.1	unplaced-scaffold	5208		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000123.1	Chromosome		NW_024602979.1	unplaced-scaffold	983		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000124.1	Chromosome		NW_024603569.1	unplaced-scaffold	1721		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000126.1	Chromosome		NW_024604382.1	unplaced-scaffold	3179		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000128.1	Chromosome		NW_024604563.1	unplaced-scaffold	3494		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000129.1	Chromosome		NW_024608626.1	unplaced-scaffold	70646		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000131.1	Chromosome		NW_024602823.1	unplaced-scaffold	838		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000132.1	Chromosome		NW_024609717.1	unplaced-scaffold	339935		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000133.1	Chromosome		NW_024607347.1	unplaced-scaffold	23836		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000134.1	Chromosome		NW_024607018.1	unplaced-scaffold	15790		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000135.1	Chromosome		NW_024605053.1	unplaced-scaffold	4107		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000136.1	Chromosome		NW_024608463.1	unplaced-scaffold	63454		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000137.1	Chromosome		NW_024604966.1	unplaced-scaffold	4019		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000138.1	Chromosome		NW_024607155.1	unplaced-scaffold	18949		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000139.1	Chromosome		NW_024608188.1	unplaced-scaffold	52564		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000140.1	Chromosome		NW_024603630.1	unplaced-scaffold	1813		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000141.1	Chromosome		NW_024604683.1	unplaced-scaffold	3647		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000142.1	Chromosome		NW_024608415.1	unplaced-scaffold	61865		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000143.1	Chromosome		NW_024607497.1	unplaced-scaffold	27941		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000145.1	Chromosome		NW_024607792.1	unplaced-scaffold	37205		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000147.1	Chromosome		NW_024604718.1	unplaced-scaffold	3699		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000148.1	Chromosome		NW_024608606.1	unplaced-scaffold	69661		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000149.1	Chromosome		NW_024608020.1	unplaced-scaffold	45356		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000150.1	Chromosome		NW_024606506.1	unplaced-scaffold	9017		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000151.1	Chromosome		NW_024602739.1	unplaced-scaffold	771		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000152.1	Chromosome		NW_024604620.1	unplaced-scaffold	3565		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000153.1	Chromosome		NW_024607125.1	unplaced-scaffold	18183		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000154.1	Chromosome		NW_024602263.1	unplaced-scaffold	463		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000156.1	Chromosome		NW_024602800.1	unplaced-scaffold	820		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000158.1	Chromosome		NW_024604626.1	unplaced-scaffold	3573		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000161.1	Chromosome		NW_024603603.1	unplaced-scaffold	1769		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000162.1	Chromosome		NW_024607515.1	unplaced-scaffold	28424		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000164.1	Chromosome		NW_024603213.1	unplaced-scaffold	1234		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000165.1	Chromosome		NW_024606297.1	unplaced-scaffold	7654		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000166.1	Chromosome		NW_024602381.1	unplaced-scaffold	541		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000167.1	Chromosome		NW_024606359.1	unplaced-scaffold	8042		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000168.1	Chromosome		NW_024607740.1	unplaced-scaffold	35693		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000169.1	Chromosome		NW_024602933.1	unplaced-scaffold	929		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000170.1	Chromosome		NW_024606818.1	unplaced-scaffold	12359		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000171.1	Chromosome		NW_024603703.1	unplaced-scaffold	1948		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000172.1	Chromosome		NW_024606467.1	unplaced-scaffold	8719		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000173.1	Chromosome		NW_024602218.1	unplaced-scaffold	321		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000174.1	Chromosome		NW_024608106.1	unplaced-scaffold	49373		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000175.1	Chromosome		NW_024607034.1	unplaced-scaffold	16131		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000176.1	Chromosome		NW_024603806.1	unplaced-scaffold	2130		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000177.1	Chromosome		NW_024607846.1	unplaced-scaffold	39489		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000178.1	Chromosome		NW_024609058.1	unplaced-scaffold	102942		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000179.1	Chromosome		NW_024602654.1	unplaced-scaffold	706		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000180.1	Chromosome		NW_024606837.1	unplaced-scaffold	12575		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000181.1	Chromosome		NW_024603861.1	unplaced-scaffold	2245		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000182.1	Chromosome		NW_024603499.1	unplaced-scaffold	1613		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000183.1	Chromosome		NW_024609384.1	unplaced-scaffold	157548		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000184.1	Chromosome		NW_024606743.1	unplaced-scaffold	11420		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000185.1	Chromosome		NW_024603473.1	unplaced-scaffold	1578		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000186.1	Chromosome		NW_024606919.1	unplaced-scaffold	13860		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000187.1	Chromosome		NW_024604834.1	unplaced-scaffold	3865		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000189.1	Chromosome		NW_024603767.1	unplaced-scaffold	2055		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000190.1	Chromosome		NW_024602499.1	unplaced-scaffold	605		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000191.1	Chromosome		NW_024602645.1	unplaced-scaffold	701		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000195.1	Chromosome		NW_024605538.1	unplaced-scaffold	4870		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000196.1	Chromosome		NW_024608539.1	unplaced-scaffold	66515		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000197.1	Chromosome		NW_024603185.1	unplaced-scaffold	1211		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000199.1	Chromosome		NW_024609692.1	unplaced-scaffold	311664		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000200.1	Chromosome		NW_024605866.1	unplaced-scaffold	5812		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000201.1	Chromosome		NW_024605927.1	unplaced-scaffold	6054		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000203.1	Chromosome		NW_024608947.1	unplaced-scaffold	92690		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000204.1	Chromosome		NW_024609073.1	unplaced-scaffold	104397		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000205.1	Chromosome		NW_024603262.1	unplaced-scaffold	1292		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000206.1	Chromosome		NW_024607280.1	unplaced-scaffold	21934		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000207.1	Chromosome		NW_024607511.1	unplaced-scaffold	28349		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000209.1	Chromosome		NW_024605388.1	unplaced-scaffold	4576		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000222.1	Chromosome		NW_024608988.1	unplaced-scaffold	96184		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000225.1	Chromosome		NW_024609800.1	unplaced-scaffold	559341		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000227.1	Chromosome		NW_024609547.1	unplaced-scaffold	215124		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000236.1	Chromosome		NW_024609716.1	unplaced-scaffold	339131		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000239.1	Chromosome		NW_024604589.1	unplaced-scaffold	3526		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000240.1	Chromosome		NW_024608695.1	unplaced-scaffold	75245		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000241.1	Chromosome		NW_024606834.1	unplaced-scaffold	12570		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000242.1	Chromosome		NW_024603738.1	unplaced-scaffold	2010		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000243.1	Chromosome		NW_024605706.1	unplaced-scaffold	5310		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000245.1	Chromosome		NW_024603568.1	unplaced-scaffold	1721		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000246.1	Chromosome		NW_024609720.1	unplaced-scaffold	343392		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000247.1	Chromosome		NW_024603964.1	unplaced-scaffold	2429		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000248.1	Chromosome		NW_024603384.1	unplaced-scaffold	1460		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000249.1	Chromosome		NW_024605216.1	unplaced-scaffold	4303		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000250.1	Chromosome		NW_024604049.1	unplaced-scaffold	2592		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000252.1	Chromosome		NW_024606920.1	unplaced-scaffold	13861		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000254.1	Chromosome		NW_024607464.1	unplaced-scaffold	26887		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000255.1	Chromosome		NW_024607023.1	unplaced-scaffold	15863		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000257.1	Chromosome		NW_024609117.1	unplaced-scaffold	110719		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000258.1	Chromosome		NW_024603336.1	unplaced-scaffold	1386		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000259.1	Chromosome		NW_024602685.1	unplaced-scaffold	730		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000260.1	Chromosome		NW_024608130.1	unplaced-scaffold	50180		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000261.1	Chromosome		NW_024608569.1	unplaced-scaffold	67943		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000262.1	Chromosome		NW_024603138.1	unplaced-scaffold	1170		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000263.1	Chromosome		NW_024606059.1	unplaced-scaffold	6529		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000264.1	Chromosome		NW_024604656.1	unplaced-scaffold	3622		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000265.1	Chromosome		NW_024609702.1	unplaced-scaffold	320903		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000266.1	Chromosome		NW_024602212.1	unplaced-scaffold	289		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000267.1	Chromosome		NW_024604255.1	unplaced-scaffold	2921		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000268.1	Chromosome		NW_024608776.1	unplaced-scaffold	80076		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000269.1	Chromosome		NW_024608060.1	unplaced-scaffold	46963		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000270.1	Chromosome		NW_024603591.1	unplaced-scaffold	1756		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000271.1	Chromosome		NW_024604869.1	unplaced-scaffold	3909		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000272.1	Chromosome		NW_024602871.1	unplaced-scaffold	889		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000273.1	Chromosome		NW_024609616.1	unplaced-scaffold	260681		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000274.1	Chromosome		NW_024608682.1	unplaced-scaffold	74186		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000276.1	Chromosome		NW_024605420.1	unplaced-scaffold	4643		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000278.1	Chromosome		NW_024602734.1	unplaced-scaffold	767		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000280.1	Chromosome		NW_024604384.1	unplaced-scaffold	3180		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000281.1	Chromosome		NW_024607424.1	unplaced-scaffold	25928		
GCF_018296145.1		Primary Assembly	Un			JAEPEU010000282.1	Chromosome		NW_024602266.1	unplaced-scaffold	466		
